location_id,"date","V1","location_name","allbed_mean","allbed_lower","allbed_upper","ICUbed_mean","ICUbed_lower","ICUbed_upper","InvVen_mean","InvVen_lower","InvVen_upper","admis_mean","admis_lower","admis_upper","newICU_mean","newICU_lower","newICU_upper","bedover_mean","bedover_lower","bedover_upper","icuover_mean","icuover_lower","icuover_upper","deaths_mean","deaths_lower","deaths_upper","totdea_mean","totdea_lower","totdea_upper","deaths_mean_smoothed","deaths_lower_smoothed","deaths_upper_smoothed","totdea_mean_smoothed","totdea_lower_smoothed","totdea_upper_smoothed","mobility_data_type","mobility_composite","total_tests_data_type","total_tests","confirmed_infections","est_infections_mean","est_infections_lower","est_infections_upper","total_pop","deaths_mean_p100k_rate","deaths_lower_p100k_rate","deaths_upper_p100k_rate","totdea_mean_p100k_rate","totdea_lower_p100k_rate","totdea_upper_p100k_rate","deaths_mean_smoothed_p100k_rate","deaths_lower_smoothed_p100k_rate","deaths_upper_smoothed_p100k_rate","totdea_mean_smoothed_p100k_rate","totdea_lower_smoothed_p100k_rate","totdea_upper_smoothed_p100k_rate","confirmed_infections_p100k_rate","est_infections_mean_p100k_rate","est_infections_lower_p100k_rate","est_infections_upper_p100k_rate","inf_cuml_mean","inf_cuml_upper","inf_cuml_lower","seroprev_mean","seroprev_upper","seroprev_lower"
76,2020-02-04,15653,"Belgium",0.109363162398071,0.109363162398071,0.109363162398071,0.0186334513895634,0.0186334513895634,0.0186334513895634,0.0183441518969369,0.0183441518969369,0.0183441518969369,0.00556626089804285,0.00556626089804285,0.00556626089804285,0.00342347005277606,0.00342347005277606,0.00342347005277606,0,0,0,0,0,0,0,0,0,0,0,0,0.00284367757682136,0.00284367757682136,0.00284367757682136,0.00284367757682136,0.00284367757682136,0.00284367757682136,,,"observed",0.00670673263849752,1,0.483973450628805,0.260201033217416,0.913522019708606,11419165.5284564,0,0,0,0,0,0,2.49026741028927e-05,2.49026741028927e-05,2.49026741028927e-05,2.49026741028927e-05,2.49026741028927e-05,2.49026741028927e-05,0.00875720732402042,0.00423825584647801,0.00227863439380924,0.00799990172164613,0.483973450628805,0.913522019708606,0.260201033217416,1.04092666329152e-07,1.67154792043983e-07,5.99489636006422e-08
76,2020-02-05,15654,"Belgium",0.119237960475183,0.119237960475183,0.119237960475183,0.0193103562662804,0.0193103562662804,0.0193103562662804,0.0189227020377312,0.0189227020377312,0.0189227020377312,0.005734573158339,0.005734573158339,0.005734573158339,0.00352058245353834,0.00352058245353834,0.00352058245353834,0,0,0,0,0,0,0,0,0,0,0,0,0.00285195258130457,0.00285195258130457,0.00285195258130457,0.00569563015812593,0.00569563015812593,0.00569563015812593,,,"observed",0.00731795858489325,0,0.572122988964736,0.2829618465549,1.14898414404018,11419165.5284564,0,0,0,0,0,0,2.49751400327593e-05,2.49751400327593e-05,2.49751400327593e-05,4.9877814135652e-05,4.9877814135652e-05,4.9877814135652e-05,0,0.00501019962920244,0.00247795555506891,0.010061892361372,1.05609643959354,2.06250616374879,0.543162879772316,1.2031370288264e-07,1.85946532439558e-07,7.27680673059568e-08
76,2020-02-06,15655,"Belgium",0.12979314765931,0.12979314765931,0.12979314765931,0.0200996670769237,0.0200996670769237,0.0200996670769237,0.019611798934128,0.0196117989341279,0.0196117989341279,0.00594203541179925,0.00594203541179925,0.00594203541179925,0.00364126339194788,0.00364126339194788,0.00364126339194788,0,0,0,0,0,0,0,0,0,0,0,0,0.00287515791908527,0.00287515791908527,0.00287515791908527,0.00857078807721121,0.0085707880772112,0.0085707880772112,,,"observed",0.0080804516478763,0,0.690088345914216,0.311288846315773,1.46461373073342,11419165.5284564,0,0,0,0,0,0,2.51783539867288e-05,2.51783539867288e-05,2.51783539867288e-05,7.50561681223809e-05,7.50561681223808e-05,7.50561681223808e-05,0,0.00604324671706111,0.00272602096484235,0.0128259260896396,1.74618478550776,3.52711989448221,0.854451726088089,1.37238489874997e-07,2.05995427583213e-07,8.61623304030172e-08
76,2020-02-07,15656,"Belgium",0.141128240652087,0.141128240652087,0.141128240652087,0.0210128723820019,0.0210128723820019,0.0210128723820019,0.0204223363256232,0.0204223363256232,0.0204223363256232,0.00619356200117603,0.00619356200117603,0.00619356200117603,0.00378836322416347,0.00378836322416347,0.00378836322416347,0,0,0,0,0,0,0,0,0,0,0,0,0.0029138578513583,0.0029138578513583,0.0029138578513583,0.0114846459285695,0.0114846459285695,0.0114846459285695,,,"observed",0.00907279198963363,0,0.850338092038041,0.352815221357586,1.88508209170914,11419165.5284564,0,0,0,0,0,0,2.55172573170693e-05,2.55172573170693e-05,2.55172573170693e-05,0.00010057342543945,0.00010057342543945,0.00010057342543945,0,0.00744658696748908,0.00308967604049854,0.016508054699895,2.5965228775458,5.41220198619135,1.20726694744567,1.55008713363692e-07,2.29499613901732e-07,1.00318242629892e-07
76,2020-02-08,15657,"Belgium",0.1533619309718,0.1533619309718,0.1533619309718,0.0220644912166574,0.0220644912166574,0.0220644912166574,0.0213681827805358,0.0213681827805358,0.0213681827805358,0.00649533070930851,0.00649533070930851,0.00649533070930851,0.00396547668601382,0.00396547668601382,0.00396547668601382,0,0,0,0,0,0,0,0,0,0,0,0,0.0029689378767889,0.0029689378767889,0.0029689378767889,0.0144535838053584,0.0144535838053584,0.0144535838053584,"observed",3.24493027968227,"observed",0.0104067115635446,0,1.07115817232409,0.408274953385453,2.4565609777265,11419165.5284564,0,0,0,0,0,0,2.59996045191774e-05,2.59996045191774e-05,2.59996045191774e-05,0.000126573029958628,0.000126573029958628,0.000126573029958628,0,0.00938035419186085,0.00357534841200118,0.0215126137860493,3.66768104986989,7.86876296391785,1.61554190083113,1.73791028628779e-07,2.51913268472736e-07,1.15317869551364e-07
76,2020-02-09,15658,"Belgium",0.166637088151817,0.166637088151817,0.166637088151817,0.0232727907080605,0.0232727907080605,0.0232727907080605,0.0224668833168521,0.0224668833168521,0.0224668833168521,0.00685530526739045,0.00685530526739045,0.00685530526739045,0.00417723736819193,0.00417723736819193,0.00417723736819193,0,0,0,0,0,0,0,0,0,0,0,0,0.0030416400722318,0.0030416400722318,0.0030416400722318,0.0174952238775902,0.0174952238775902,0.0174952238775902,"observed",3.21366134532149,"observed",0.012258172152926,0,1.37933808676235,0.485801721275654,3.27050657197117,11419165.5284564,0,0,0,0,0,0,2.66362727175823e-05,2.66362727175823e-05,2.66362727175823e-05,0.00015320930267621,0.00015320930267621,0.00015320930267621,0,0.0120791495956956,0.00425426639157688,0.0286405041053228,5.04701913663224,11.139269535889,2.10134362210678,1.93787295357107e-07,2.74169819555913e-07,1.31583590819347e-07
76,2020-02-10,15659,"Belgium",0.181129695093425,0.181129695093425,0.181129695093425,0.0246611285261248,0.0246611285261248,0.0246611285261248,0.0237409828518114,0.0237409828518114,0.0237409828518114,0.00728442185318568,0.00728442185318568,0.00728442185318568,0.00442997789029617,0.00442997789029617,0.00442997789029617,0,0,0,0,0,0,0,0,0,0,0,0,0.0031336130007276,0.0031336130007276,0.0031336130007276,0.0206288368783178,0.0206288368783178,0.0206288368783178,"observed",3.17891808492063,"observed",0.0149573283262257,0,1.81412129734439,0.596999585797634,4.39634322750031,11419165.5284564,0,0,0,0,0,0,2.74416987206173e-05,2.74416987206173e-05,2.74416987206173e-05,0.000180651001396827,0.000180651001396827,0.000180651001396827,0,0.0158866363117657,0.0052280491451842,0.0384996891107733,6.86114043397663,15.5356127633893,2.69834320790442,2.15249036946017e-07,2.99545098267609e-07,1.48850681324577e-07
76,2020-02-11,15660,"Belgium",0.197064191429954,0.197064191429954,0.197064191429954,0.0262603147393397,0.0262603147393397,0.0262603147393397,0.0252203647539868,0.0252203647539868,0.0252203647539868,0.00779851497576152,0.00779851497576152,0.00779851497576152,0.0047327992139425,0.0047327992139425,0.0047327992139425,0,0,0,0,0,0,0,0,0,0,0,0,0.0032469791391747,0.0032469791391747,0.0032469791391747,0.0238758160174925,0.0238758160174925,0.0238758160174925,"observed",3.140314462253,"observed",0.0191741095617393,0,2.43274280599741,0.74767658218082,6.01734215158193,11419165.5284564,0,0,0,0,0,0,2.84344694985222e-05,2.84344694985222e-05,2.84344694985222e-05,0.000209085470895349,0.000209085470895349,0.000209085470895349,0,0.0213040331181385,0.00654755884147243,0.0526951127609701,9.29388323997404,21.5529549149713,3.44601979008524,2.38497490789837e-07,3.22698054510343e-07,1.67719377543199e-07
76,2020-02-12,15661,"Belgium",0.214737594093853,0.214737594093853,0.214737594093853,0.0281123851274506,0.0281123851274506,0.0281123851274506,0.0269459912147163,0.0269459912147163,0.0269459912147163,0.00842095447238904,0.00842095447238903,0.00842095447238903,0.00509904952728556,0.00509904952728555,0.00509904952728555,0,0,0,0,0,0,0,0,0,0,0,0,0.0033844238920337,0.0033844238920337,0.0033844238920337,0.0272602399095262,0.0272602399095262,0.0272602399095262,"observed",3.09742154817786,"observed",0.0262512768070482,0,3.3181624406492,0.959423519588583,8.26853863035378,11419165.5284564,0,0,0,0,0,0,2.96381016949072e-05,2.96381016949072e-05,2.96381016949072e-05,0.000238723572590257,0.000238723572590257,0.000238723572590257,0,0.0290578364275426,0.00840187067257859,0.0724093070526799,12.6120456806232,29.821493545325,4.40544330967382,2.63950683961554e-07,3.54006733163445e-07,1.88987260061201e-07
76,2020-02-13,15662,"Belgium",0.227777981689931,0.227777981689931,0.227777981689931,0.0302755052393511,0.0302755052393511,0.0302755052393511,0.0289747524801625,0.0289747524801625,0.0289747524801625,0.00918472012056478,0.00918472012056478,0.00918472012056478,0.00554754400393416,0.00554754400393417,0.00554754400393417,0,0,0,0,0,0,0,0,0,0,0,0,0.003549323060796,0.003549323060796,0.003549323060796,0.0308095629703222,0.0308095629703222,0.0308095629703222,"observed",3.04976275476103,"observed",0.0387735658502808,0,4.58928920380249,1.28263877296684,11.4009081678265,11419165.5284564,0,0,0,0,0,0,3.10821579033173e-05,3.10821579033173e-05,3.10821579033173e-05,0.000269805730493574,0.000269805730493574,0.000269805730493574,0,0.040189357027587,0.0112323336566978,0.0998401165077745,17.2013348844257,41.2224017131515,5.68808208264066,2.9215991720937e-07,3.89964991373807e-07,2.09518588275052e-07
