> sim2$epi
$s.num
   sim1 sim2 sim3 sim4 sim5 sim6 sim7 sim8 sim9 sim10
25   82  120  103   86  121   96  112  137  110   159
26   99  118  108   86  110   86  108  140  114   157
27  105  114  106   88   92   80  101  133  115   142
28   96  119  116   87   93   86  110  107  124   114
29   86   98  104   91   84   94  107  107  119   103
30   70  103   93  103   72  109  104   93  121    87
31   78   85   94   96   60  104   92   87  123    86
32   73   82  101  100   55  110   80   84  112    84
33   65   77   99  109   40  110   72   77   98    72
34   62   84   99  101   37  115   71   73   88    63
35   81   79   95   96   28  114   68   80   80    50
36   80   79  102   84   25  116   65   76   74    42
37   91   75   91   87   25  111   62   68   78    30
38   80   48   81   83   20  104   60   65   82    25
39   79   49   85   87   17  111   50   59   64    22
40   61   35   80   94   17  114   47   49   64    19
41   65   33   79   87   17  122   28   40   48    10
42   63   31   72   86   15  119   23   39   47     6
43   53   29   59   62   10  115   24   38   46     6
44   54   31   60   63    9   98   26   30   46     7
45   48   31   63   48   10   92   19   26   47     8
46   41   31   51   43    9   95   17   30   39     6
47   38   26   38   37    9   95   17   32   37     6
48   48   17   38   40    8   91   17   31   35     5
49   38   11   38   32    6   80   15   36   35     5
50   37    6   30   34    5   68   12   40   26     5
51   37    8   20   31    3   45   16   35   23     5
52   32   14   16   31    4   45   10   37   21     7
53   34   15   12   25    6   37    8   27   16     4
54   31   11   11   24    2   38    7   22   16     4
55   29    9    8   23    3   35    6   24   11     2
56   31   12    8   23    2   27    4   19   10     1
57   30   10   10   18    2   27    1   16   10     0
58   30   12    8   19    2   20    1   14    7     0
59   21    8    7   16    1   14    2   10    9     0
60   16    9    7   14    1   10    2    8   10     0
61   14    9    3   10    1   10    0    6    6     0
62   13    9    2   13    1    5    0    5    2     0
63   12    8    1   12    0    8    0    4    1     0
64   15    6    0   14    0    7    0    5    1     0
65   12    6    0   17    0    9    0    6    1     0
66   12    5    0   19    0    7    0    1    0     0
67   10    4    0   15    0    6    0    2    0     0
68    9    5    0   12    0    3    0    3    0     0
69    8    4    0    7    0    2    0    3    0     0
70    8    3    0    4    0    1    0    5    0     0
71    8    4    0    4    0    1    0    6    0     0
72    7    2    0    3    0    0    0    8    0     0
73    6    0    0    3    0    0    0    4    0     0
74    5    0    0    5    0    0    0    6    0     0
75    8    0    0    9    0    0    0    4    0     0
76    8    0    0    9    0    0    0    3    0     0
77    4    0    0    7    0    0    0    4    0     0
78    4    0    0    7    0    0    0    3    0     0
79    2    0    0    2    0    0    0    2    0     0
80    2    0    0    1    0    0    0    1    0     0

$r.num
   sim1 sim2 sim3 sim4 sim5 sim6 sim7 sim8 sim9 sim10
1    30   30   30   30   30   30   30   30   30    30
2    73   85   81   70   71   79   78   69   69    79
3   136  154  119  117  115  117  124  116  123   137
4   177  209  161  166  165  153  157  168  191   190
5   221  261  213  215  215  186  204  202  248   247
6   290  313  264  251  282  225  241  259  306   303
7   354  388  319  291  359  254  287  325  377   383
8   431  470  392  327  460  278  332  392  443   477
9   486  586  463  369  601  303  377  453  518   554
10  535  675  531  439  713  334  433  518  605   646
11  599  763  593  503  846  361  483  579  689   732
12  683  856  666  591  992  410  534  650  791   836
13  781  955  729  680 1143  456  585  707  905   964
14  856 1050  773  764 1290  489  651  776 1022  1105
15  946 1162  825  836 1446  526  714  872 1114  1247
16 1040 1265  893  934 1608  563  780  970 1229  1394
17 1135 1369  967 1006 1743  621  877 1085 1353  1534
18 1242 1511 1044 1105 1896  665  944 1191 1495  1680
19 1335 1642 1132 1182 2052  718 1016 1310 1603  1808
20 1422 1776 1215 1248 2219  770 1103 1459 1709  1941
21 1503 1901 1297 1323 2379  844 1191 1573 1809  2055
22 1599 2002 1388 1377 2531  911 1297 1705 1913  2197
23 1680 2113 1471 1448 2653  979 1387 1815 1976  2320
24 1770 2215 1545 1509 2761 1041 1500 1909 2075  2446
25 1849 2324 1639 1596 2862 1121 1603 2004 2164  2586
26 1916 2424 1709 1664 2947 1199 1695 2116 2243  2705
27 1984 2507 1799 1734 3047 1275 1789 2210 2330  2820
28 2073 2592 1868 1805 3099 1327 1861 2314 2413  2933
29 2141 2690 1954 1867 3167 1402 1952 2400 2516  3021
30 2212 2739 2030 1940 3228 1483 2035 2489 2605  3090
31 2268 2821 2100 2019 3274 1575 2112 2553 2687  3147
32 2328 2881 2160 2095 3318 1660 2198 2629 2790  3202
33 2379 2934 2229 2166 3358 1735 2260 2700 2882  3267
34 2440 2979 2309 2254 3386 1815 2318 2763 2959  3320
35 2489 3044 2384 2332 3412 1911 2367 2807 3021  3377
36 2552 3100 2442 2411 3434 2004 2422 2868 3076  3409
37 2599 3157 2519 2468 3448 2092 2472 2930 3124  3442
38 2670 3215 2592 2533 3465 2191 2520 2983 3185  3465
39 2728 3246 2639 2594 3477 2269 2580 3024 3244  3480
40 2786 3291 2702 2655 3491 2346 2623 3068 3291  3494
41 2821 3317 2764 2727 3505 2439 2658 3103 3339  3514
42 2869 3338 2827 2787 3518 2536 2681 3135 3377  3522
43 2917 3363 2881 2856 3534 2625 2698 3155 3405  3526
44 2958 3381 2919 2894 3542 2723 2717 3184 3436  3531
45 2997 3406 2954 2947 3551 2811 2738 3204 3472  3533
46 3037 3424 3002 2987 3558 2877 2757 3218 3507  3540
47 3071 3447 3035 3014 3564 2940 2766 3236 3537  3543
48 3096 3471 3061 3047 3569 3012 2779 3263 3558  3551
49 3136 3484 3085 3075 3577 3085 2790 3286 3582  3554
50 3168 3491 3112 3094 3581 3146 2803 3309 3608  3556
51 3196 3495 3130 3113 3588 3209 2807 3340 3624  3560
52 3228 3501 3142 3131 3589 3236 2822 3367 3644  3561
53 3246 3509 3154 3162 3591 3273 2826 3397 3661  3565
54 3270 3522 3164 3179 3598 3293 2829 3417 3671  3567
55 3300 3530 3172 3195 3600 3316 2834 3435 3682  3570
56 3323 3534 3174 3218 3601 3346 2839 3453 3689  3572
57 3349 3550 3180 3235 3601 3359 2843 3465 3693  3573
58 3376 3557 3189 3242 3602 3380 2844 3475 3701  3573
59 3405 3568 3192 3257 3604 3396 2846 3483 3706  3573
60 3422 3572 3197 3268 3604 3408 2847 3494 3709  3573
61 3431 3581 3202 3280 3605 3414 2850 3501 3715  3573
62 3442 3585 3208 3287 3606 3422 2850 3504 3721  3573
63 3450 3596 3211 3297 3607 3425 2850 3511 3722  3573
64 3458 3604 3213 3308 3607 3430 2850 3512 3723  3573
65 3469 3607 3213 3314 3607 3432 2850 3514 3723  3573
66 3476 3611 3213 3327 3607 3440 2850 3521 3724  3573
67 3488 3616 3213 3340 3607 3446 2850 3521 3724  3573
68 3497 3619 3213 3348 3607 3452 2850 3521 3724  3573
69 3505 3622 3213 3356 3607 3456 2850 3523 3724  3573
70 3509 3626 3213 3361 3607 3458 2850 3525 3724  3573
71 3513 3627 3213 3362 3607 3459 2850 3528 3724  3573
72 3516 3629 3213 3364 3607 3460 2850 3530 3724  3573
73 3521 3631 3213 3366 3607 3460 2850 3540 3724  3573
74 3527 3631 3213 3368 3607 3460 2850 3543 3724  3573
75 3528 3631 3213 3370 3607 3460 2850 3552 3724  3573
76 3534 3631 3213 3374 3607 3460 2850 3556 3724  3573
77 3545 3631 3213 3379 3607 3460 2850 3556 3724  3573
78 3547 3631 3213 3381 3607 3460 2850 3559 3724  3573
79 3551 3631 3213 3389 3607 3460 2850 3561 3724  3573
80 3551 3631 3213 3392 3607 3460 2850 3562 3724  3573

$num
    sim1  sim2  sim3  sim4  sim5  sim6  sim7  sim8  sim9 sim10
1  10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
2  10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
3  10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
4  10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
5  10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
6  10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
7  10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
8  10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
9  10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
10 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
11 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
12 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
13 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
14 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
15 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
16 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
17 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
18 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
19 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
20 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
21 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
22 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
23 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
24 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
25 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
26 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
27 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
28 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
29 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
30 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
31 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
32 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
33 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
34 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
35 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
36 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
37 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
38 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
39 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
40 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
41 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
42 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
43 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000
